0	0.474
10	0.4654
20	0.4625
30	0.4668
40	0.4751
50	0.4828
60	0.4882
70	0.4924
80	0.4969
90	0.5013
100	0.5037
110	0.5029
120	0.4987
130	0.4924
140	0.4849
150	0.4774
160	0.4718
170	0.471
180	0.4761
190	0.485
200	0.4937
210	0.4983
220	0.4978
230	0.4944
240	0.4911
250	0.4893
260	0.4883
270	0.4871
280	0.4865
290	0.4882
300	0.4927
310	0.4983
320	0.5029
330	0.505
340	0.5044
350	0.5019
360	0.4983
370	0.4947
380	0.4927
390	0.4923
400	0.4925
410	0.4921
420	0.4916
430	0.4925
440	0.4955
450	0.4981
460	0.4962
470	0.4877
480	0.4746
490	0.4623
500	0.456
510	0.4566
520	0.4604
530	0.4632
540	0.4638
550	0.4648
560	0.4686
570	0.4749
580	0.4805
590	0.482
600	0.479
610	0.4735
620	0.4684
630	0.466
640	0.467
650	0.4714
660	0.4785
670	0.4868
680	0.4938
690	0.4971
700	0.4956
710	0.4911
720	0.4872
730	0.4847
740	0.4808
750	0.4728
760	0.4618
770	0.4528
780	0.4504
790	0.4542
800	0.4596
810	0.4618
820	0.4591
830	0.4538
840	0.4493
850	0.4474
860	0.4482
870	0.4517
880	0.4578
890	0.4657
900	0.4732
910	0.4785
920	0.4818
930	0.4854
940	0.491
950	0.4971
960	0.5001
970	0.4977
980	0.4915
990	0.4859
1000	0.4845
